hepatitis B,,,,,,,,,,,,,
 Brooks-Gelman-Rubin (BGR) ratio,,mean,sd,MC_error,val2.5pc,val5.0pc,val10.0pc,val25.0pc,median,val75.0pc,val90.0pc,val95.0pc,val97.5pc
0.9983,r[25],0.8055,0.2088,0.005752,0.423,0.4658,0.5218,0.6426,0.8166,0.9748,1.041,1.107,1.18
0.997,r[26],1.128,0.2711,0.006402,0.7432,0.8005,0.8656,0.9663,1.051,1.248,1.499,1.666,1.818
1.003,r[27],1.014,0.1934,0.001751,0.6803,0.7338,0.7949,0.9012,0.9974,1.097,1.254,1.37,1.481
0.9997,r[28],1.308,0.4861,0.01169,0.6856,0.7609,0.8494,0.9861,1.167,1.54,1.963,2.252,2.537
1,r[29],1.022,0.1841,0.001585,0.6989,0.7516,0.8156,0.9197,1.002,1.101,1.247,1.356,1.468
0.997,r[30],0.866,0.3193,0.01103,0.3044,0.373,0.4671,0.6568,0.8848,1.02,1.19,1.355,1.55
0.9989,r[31],1.045,0.1868,0.003257,0.7062,0.77,0.84,0.9451,1.016,1.128,1.278,1.385,1.49
1.009,r1,1,9.93E-07,5.96E-08,1,1,1,1,1,1,1,1,1
1.031,r2,0.9687,0.007657,3.08E-04,0.954,0.9564,0.9592,0.9634,0.9684,0.9739,0.9788,0.9815,0.9837
1.093,r3,1.005,0.008091,4.32E-04,0.9922,0.9937,0.996,0.9998,1.004,1.009,1.017,1.022,1.024
1.012,r4,0.9999,2.30E-04,1.18E-05,0.9994,0.9995,0.9996,0.9997,0.9999,1,1,1,1
0.9998,r5,1.002,0.00204,3.11E-05,0.9978,0.9985,0.9992,1,1.002,1.003,1.004,1.005,1.006
1.005,r6,1.004,6.32E-04,2.41E-05,1.003,1.003,1.003,1.003,1.004,1.004,1.005,1.005,1.005
1.001,r7,0.9979,0.01664,7.71E-04,0.9637,0.9703,0.9766,0.987,0.9984,1.009,1.018,1.024,1.03
1.02,r8,1,3.10E-06,1.58E-07,1,1,1,1,1,1,1,1,1
1.002,s[1],0.1539,0.2595,0.004956,-0.304,-0.2142,-0.1241,-0.009431,0.1114,0.3084,0.5044,0.6249,0.7319
0.9964,s[2],0.2832,0.3242,0.01066,-0.1782,-0.1125,-0.04883,0.02151,0.2085,0.4958,0.761,0.8997,1.008
0.9994,s[3],0.09094,0.2017,0.003395,-0.2748,-0.2023,-0.1249,-0.02489,0.05462,0.2032,0.3625,0.4659,0.5519
0.9999,s[4],0.3009,0.3136,0.009897,-0.1511,-0.09137,-0.03314,0.03721,0.2441,0.5206,0.7565,0.8727,0.973
0.9994,s[5],0.1898,0.2519,0.006142,-0.2186,-0.1464,-0.07384,0.004377,0.1434,0.351,0.5399,0.6537,0.7525
0.9983,s[6],-0.2351,0.3386,0.01086,-1.022,-0.8812,-0.7164,-0.4434,-0.162,0.001653,0.118,0.2099,0.3055
0.9994,s[7],0.2505,0.3003,0.009958,-0.1748,-0.1117,-0.05087,0.01451,0.1783,0.4362,0.697,0.841,0.9487
0.9985,s[8],0.2696,0.2927,0.01043,-0.1017,-0.05765,-0.01923,0.02955,0.1951,0.4492,0.7011,0.855,0.9665
1,s[9],0.1204,0.1807,0.004655,-0.1615,-0.1099,-0.05962,-0.001419,0.07621,0.225,0.3782,0.4693,0.5454
1,s[10],0.2255,0.2442,0.008054,-0.09622,-0.05641,-0.01943,0.02588,0.1667,0.3767,0.5845,0.7032,0.7968
1.003,s[11],-0.3327,0.3499,0.01228,-1.154,-1.026,-0.8579,-0.5522,-0.245,-0.03999,0.01869,0.06018,0.1068
0.9955,s[12],0.0547,0.2037,0.004384,-0.3036,-0.234,-0.1597,-0.05515,0.01613,0.1423,0.3286,0.4574,0.5657
1.001,s[13],0.134,0.2301,0.005039,-0.266,-0.187,-0.1077,-0.009643,0.091,0.2691,0.4488,0.5604,0.6606
0.9992,s[14],-0.06569,0.174,0.003063,-0.4545,-0.3836,-0.3017,-0.1637,-0.03473,0.03327,0.1254,0.1918,0.2542
0.9991,s[15],-0.1617,0.3073,0.009193,-0.8766,-0.7374,-0.5873,-0.34,-0.1022,0.02766,0.1668,0.27,0.3723
0.9987,s[16],-0.1646,0.3163,0.007514,-0.982,-0.8152,-0.6157,-0.3101,-0.07308,0.0267,0.141,0.2234,0.2956
0.9954,s[17],-0.33,0.3273,0.01181,-1.04,-0.9351,-0.8083,-0.5601,-0.2673,-0.04827,0.01734,0.0625,0.1148
1.001,s[18],-0.1991,0.2176,0.006093,-0.6873,-0.6036,-0.5063,-0.3429,-0.1594,-0.02106,0.02615,0.06915,0.1172
1.001,s[19],-0.06173,0.172,0.002699,-0.4501,-0.3749,-0.2901,-0.1545,-0.03411,0.03112,0.1254,0.1964,0.2649
0.9984,s[20],-0.2676,0.2678,0.008904,-0.8505,-0.7565,-0.6471,-0.4537,-0.2233,-0.03893,0.01985,0.06534,0.1142
1,s[21],-0.2503,0.2678,0.008344,-0.8751,-0.779,-0.6485,-0.4177,-0.1875,-0.02984,0.01962,0.05993,0.1045
0.9985,s[22],-0.00688,0.1702,0.002187,-0.367,-0.2937,-0.2129,-0.09514,-0.003232,0.07881,0.1992,0.281,0.3551
0.9941,s[23],0.09165,0.2227,0.005485,-0.3119,-0.2321,-0.147,-0.03437,0.0495,0.2131,0.3949,0.5084,0.6093
1.001,s[24],0.04269,0.1908,0.003454,-0.3366,-0.2573,-0.1747,-0.05891,0.01962,0.1448,0.2896,0.3825,0.4656
0.9978,s[25],-0.253,0.2788,0.007768,-0.8603,-0.764,-0.6505,-0.4423,-0.2026,-0.02549,0.04048,0.1017,0.1657
0.9981,s[26],0.0951,0.2216,0.004987,-0.2968,-0.2225,-0.1443,-0.03429,0.04968,0.2213,0.4046,0.5102,0.5977
1.003,s[27],-0.003187,0.1853,0.001581,-0.3852,-0.3095,-0.2295,-0.104,-0.002639,0.09243,0.2262,0.315,0.393
0.9993,s[28],0.2096,0.3361,0.008053,-0.3774,-0.2733,-0.1632,-0.01398,0.1543,0.4319,0.6744,0.8117,0.9309
1.001,s[29],0.006553,0.1751,0.001382,-0.3583,-0.2855,-0.2039,-0.08369,0.001639,0.09623,0.2208,0.3048,0.3838
0.9935,s[30],-0.2157,0.3968,0.01536,-1.189,-0.9862,-0.7611,-0.4203,-0.1224,0.01953,0.1736,0.3038,0.438
0.9993,s[31],0.02826,0.1748,0.003094,-0.3478,-0.2613,-0.1743,-0.0565,0.0156,0.1208,0.2454,0.3256,0.3991
